Sessione,N_es,Esercizio,Tempo,Serie,Ripetizioni,Peso,Spiegazione_esercizio
1,1,Camminata (Tapis Roulant o Cyclette o Ellittica),15 min,,,,
1,2,Chest Press,,4,10,20,https://graduatefitness.com/wp-content/uploads/2020/05/IMG_2773-1.gif
1,3,Lat machine,,4,10,30,https://www.inspireusafoundation.org/wp-content/uploads/2022/08/wide-grip-lat-pulldown.gif
1,4,Low Row,,3,12,30,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Row-Machine.gif
1,5,Dist. manubri p. inclinata 30 gradi,,3,12,6,https://trasformami.com/wp-content/uploads/2021/08/dumbbell-bench.gif
1,6,Alzate laterali manubri,,4,10,6,https://www.alessioferlito.it/wp-content/uploads/2022/09/alzate-laterali.gif
1,7,Curl manubri,,3,10,6,https://i.gifer.com/7hh1.gif
1,8,Addominali Criss Cross,,3,15,,https://i.gifer.com/Aqnc.gif
1,9,Addominali crunch inverso,,3,15,,https://www.yonkerspublicschools.org/cms/lib/NY01814060/Centricity/Domain/2454/2bd992e5e17a6f6bacb05126adb22792.gif
1,10,Esercizi schiena,,3,10,,
1,11,Camminata (Tapis Roulant),15 min,,,,
2,1,Attività musicale (Dance o Attack), 1h30min,,,,
3,1,Camminata (Tapis Roulant),15 min,,,,
3,2,Squat,,3,10,,
3,3,Bench press con manubri,,3,10,,https://www.abcallenamento.it/wp-content/uploads/2021/11/bench-press-manubri.0x0.91371.gif
3,4,Floor press con manubri,,2,10,,https://cdn.hsnstore.com/blog/wp-content/uploads/sites/3/2018/11/panca-piana-con-manubri.gif
3,5,Kettlebell Swing,,3,10,12,https://media4.giphy.com/media/VmxzbcqNRAhtC/giphy.gif?cid=ecf05e47hetnvyddnllg6k31x283w1wil8xvo21c0pni4uzj&ep=v1_gifs_search&rid=giphy.gif&ct=g
3,6,Kettlebell Rematore o manubri,,2,10,12,https://www.abcallenamento.it/wp-content/uploads/2021/11/rematore-manubrio.0x0.91372.gif
3,7,Kettlebell Twister,,2,10,12,http://media.foodspring.com/magazine/public/uploads/2020/11/Kettlebell-Russian-Twist.gif
3,8,Step macchina,5 min,,,,
3,9,Esercizi schiena,,3,10,,
3,10,Camminata (Tapis Roulant o Cyclette o Ellittica),15 min,,,,
